,Year,Period,State,Loss Reason,Lost Colonies,Timeline
224,2019,Q1,MO,CCD,340,2019 Q1
135,2019,Q1,KS,DEADOUT,1500,2019 Q1
134,2019,Q1,KS,CCD,430,2019 Q1
315,2019,Q1,OK,DEADOUT,50,2019 Q1
324,2019,Q1,OR,CCD,2300,2019 Q1
125,2019,Q1,IA,DEADOUT,1600,2019 Q1
124,2019,Q1,IA,CCD,270,2019 Q1
325,2019,Q1,OR,DEADOUT,7500,2019 Q1
342,2019,Q1,PA,CCD,1200,2019 Q1
115,2019,Q1,IN,DEADOUT,710,2019 Q1
114,2019,Q1,IN,CCD,150,2019 Q1
343,2019,Q1,PA,DEADOUT,2900,2019 Q1
352,2019,Q1,SC,CCD,110,2019 Q1
105,2019,Q1,IL,DEADOUT,2300,2019 Q1
314,2019,Q1,OK,CCD,10,2019 Q1
104,2019,Q1,IL,CCD,530,2019 Q1
362,2019,Q1,SD,CCD,2400,2019 Q1
95,2019,Q1,ID,DEADOUT,12500,2019 Q1
94,2019,Q1,ID,CCD,3700,2019 Q1
363,2019,Q1,SD,DEADOUT,1100,2019 Q1
372,2019,Q1,TN,CCD,320,2019 Q1
85,2019,Q1,HI,DEADOUT,390,2019 Q1
84,2019,Q1,HI,CCD,80,2019 Q1
373,2019,Q1,TN,DEADOUT,1500,2019 Q1
382,2019,Q1,TX,CCD,600,2019 Q1
75,2019,Q1,GA,DEADOUT,14500,2019 Q1
74,2019,Q1,GA,CCD,2300,2019 Q1
383,2019,Q1,TX,DEADOUT,17000,2019 Q1
392,2019,Q1,UT,CCD,3200,2019 Q1
353,2019,Q1,SC,DEADOUT,690,2019 Q1
305,2019,Q1,OH,DEADOUT,3500,2019 Q1
144,2019,Q1,KY,CCD,70,2019 Q1
145,2019,Q1,KY,DEADOUT,890,2019 Q1
234,2019,Q1,MT,CCD,620,2019 Q1
215,2019,Q1,MS,DEADOUT,2400,2019 Q1
214,2019,Q1,MS,CCD,160,2019 Q1
235,2019,Q1,MT,DEADOUT,3500,2019 Q1
244,2019,Q1,NE,CCD,1500,2019 Q1
205,2019,Q1,MN,DEADOUT,2200,2019 Q1
204,2019,Q1,MN,CCD,1900,2019 Q1
245,2019,Q1,NE,DEADOUT,2500,2019 Q1
254,2019,Q1,NJ,CCD,0,2019 Q1
195,2019,Q1,MI,DEADOUT,6500,2019 Q1
194,2019,Q1,MI,CCD,3300,2019 Q1
255,2019,Q1,NJ,DEADOUT,310,2019 Q1
264,2019,Q1,NM,CCD,0,2019 Q1
185,2019,Q1,MA,DEADOUT,680,2019 Q1
184,2019,Q1,MA,CCD,50,2019 Q1
265,2019,Q1,NM,DEADOUT,170,2019 Q1
274,2019,Q1,NY,CCD,750,2019 Q1
175,2019,Q1,MD,DEADOUT,2300,2019 Q1
174,2019,Q1,MD,CCD,50,2019 Q1
275,2019,Q1,NY,DEADOUT,3400,2019 Q1
284,2019,Q1,NC,CCD,350,2019 Q1
165,2019,Q1,ME,DEADOUT,470,2019 Q1
164,2019,Q1,ME,CCD,10,2019 Q1
285,2019,Q1,NC,DEADOUT,1700,2019 Q1
294,2019,Q1,ND,CCD,1600,2019 Q1
155,2019,Q1,LA,DEADOUT,3500,2019 Q1
154,2019,Q1,LA,CCD,550,2019 Q1
295,2019,Q1,ND,DEADOUT,1100,2019 Q1
304,2019,Q1,OH,CCD,1500,2019 Q1
65,2019,Q1,FL,DEADOUT,46000,2019 Q1
64,2019,Q1,FL,CCD,3900,2019 Q1
225,2019,Q1,MO,DEADOUT,1100,2019 Q1
423,2019,Q1,WA,DEADOUT,7000,2019 Q1
412,2019,Q1,VA,CCD,150,2019 Q1
34,2019,Q1,CA,CCD,14000,2019 Q1
44,2019,Q1,CO,CCD,1500,2019 Q1
15,2019,Q1,AZ,DEADOUT,2500,2019 Q1
14,2019,Q1,AZ,CCD,1500,2019 Q1
413,2019,Q1,VA,DEADOUT,1100,2019 Q1
433,2019,Q1,WV,DEADOUT,1300,2019 Q1
443,2019,Q1,WI,DEADOUT,3700,2019 Q1
24,2019,Q1,AR,CCD,320,2019 Q1
25,2019,Q1,AR,DEADOUT,6500,2019 Q1
403,2019,Q1,VT,DEADOUT,260,2019 Q1
442,2019,Q1,WI,CCD,800,2019 Q1
55,2019,Q1,CT,DEADOUT,270,2019 Q1
452,2019,Q1,WY,CCD,980,2019 Q1
54,2019,Q1,CT,CCD,90,2019 Q1
422,2019,Q1,WA,CCD,5500,2019 Q1
35,2019,Q1,CA,DEADOUT,235000,2019 Q1
393,2019,Q1,UT,DEADOUT,1800,2019 Q1
453,2019,Q1,WY,DEADOUT,250,2019 Q1
4,2019,Q1,AL,CCD,140,2019 Q1
432,2019,Q1,WV,CCD,530,2019 Q1
402,2019,Q1,VT,CCD,40,2019 Q1
45,2019,Q1,CO,DEADOUT,320,2019 Q1
5,2019,Q1,AL,DEADOUT,650,2019 Q1
157,2019,Q3,LA,DEADOUT,4100,2019 Q3
435,2019,Q3,WV,DEADOUT,1100,2019 Q3
27,2019,Q3,AR,DEADOUT,2100,2019 Q3
167,2019,Q3,ME,DEADOUT,1100,2019 Q3
166,2019,Q3,ME,CCD,10,2019 Q3
307,2019,Q3,OH,DEADOUT,1600,2019 Q3
434,2019,Q3,WV,CCD,290,2019 Q3
306,2019,Q3,OH,CCD,220,2019 Q3
424,2019,Q3,WA,CCD,4500,2019 Q3
296,2019,Q3,ND,CCD,7000,2019 Q3
297,2019,Q3,ND,DEADOUT,81000,2019 Q3
156,2019,Q3,LA,CCD,910,2019 Q3
147,2019,Q3,KY,DEADOUT,850,2019 Q3
286,2019,Q3,NC,CCD,300,2019 Q3
287,2019,Q3,NC,DEADOUT,2700,2019 Q3
26,2019,Q3,AR,CCD,990,2019 Q3
146,2019,Q3,KY,CCD,200,2019 Q3
394,2019,Q3,UT,CCD,950,2019 Q3
276,2019,Q3,NY,CCD,3200,2019 Q3
227,2019,Q3,MO,DEADOUT,500,2019 Q3
455,2019,Q3,WY,DEADOUT,3000,2019 Q3
217,2019,Q3,MS,DEADOUT,2900,2019 Q3
216,2019,Q3,MS,CCD,610,2019 Q3
454,2019,Q3,WY,CCD,1100,2019 Q3
236,2019,Q3,MT,CCD,1200,2019 Q3
237,2019,Q3,MT,DEADOUT,18500,2019 Q3
207,2019,Q3,MN,DEADOUT,21000,2019 Q3
206,2019,Q3,MN,CCD,2400,2019 Q3
6,2019,Q3,AL,CCD,180,2019 Q3
7,2019,Q3,AL,DEADOUT,990,2019 Q3
246,2019,Q3,NE,CCD,540,2019 Q3
277,2019,Q3,NY,DEADOUT,8500,2019 Q3
247,2019,Q3,NE,DEADOUT,3700,2019 Q3
196,2019,Q3,MI,CCD,1800,2019 Q3
445,2019,Q3,WI,DEADOUT,6500,2019 Q3
444,2019,Q3,WI,CCD,820,2019 Q3
256,2019,Q3,NJ,CCD,240,2019 Q3
257,2019,Q3,NJ,DEADOUT,680,2019 Q3
187,2019,Q3,MA,DEADOUT,1100,2019 Q3
186,2019,Q3,MA,CCD,170,2019 Q3
16,2019,Q3,AZ,CCD,770,2019 Q3
266,2019,Q3,NM,CCD,70,2019 Q3
17,2019,Q3,AZ,DEADOUT,2000,2019 Q3
177,2019,Q3,MD,DEADOUT,790,2019 Q3
176,2019,Q3,MD,CCD,50,2019 Q3
197,2019,Q3,MI,DEADOUT,11000,2019 Q3
267,2019,Q3,NM,DEADOUT,170,2019 Q3
425,2019,Q3,WA,DEADOUT,21000,2019 Q3
136,2019,Q3,KS,CCD,310,2019 Q3
106,2019,Q3,IL,CCD,100,2019 Q3
