Program,Year,Period,Week Ending,Geo Level,State,State Abbr,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2020,JAN THRU MAR,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,70,
SURVEY,2020,JAN THRU MAR,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,410,
SURVEY,2020,APR THRU JUN,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,410,
SURVEY,2020,APR THRU JUN,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"4,100",
SURVEY,2019,JAN THRU MAR,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,140,
SURVEY,2019,JAN THRU MAR,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,650,
SURVEY,2019,JUL THRU SEP,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,180,
SURVEY,2019,JUL THRU SEP,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,990,
SURVEY,2019,OCT THRU DEC,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,110,
SURVEY,2019,OCT THRU DEC,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,660,
SURVEY,2020,JAN THRU MAR,,STATE,ARIZONA,AZ,4,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"4,300",
SURVEY,2020,JAN THRU MAR,,STATE,ARIZONA,AZ,4,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"6,500",
SURVEY,2020,APR THRU JUN,,STATE,ARIZONA,AZ,4,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,170,
SURVEY,2020,APR THRU JUN,,STATE,ARIZONA,AZ,4,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"1,300",
